toIsContract_0,toIsContract_1,blockNumber,timestamp,value,gasLimit,gasPrice,gasUsed,isError
0,1,697018,1450206942,1.0,250000,52000000000.0,186446,0
1,0,697013,1450206865,3.66e+18,21000,60000000000.0,21000,0
0,1,696254,1450194481,1.0,250000,52000000000.0,120980,0
1,0,697165,1450209396,6.64e+18,90000,50000000000.0,21000,0
0,1,696349,1450196200,1.0,250000,52000000000.0,186446,0
1,0,696624,1450200952,1e+19,90000,50000000000.0,21000,0
0,1,697400,1450213885,0.0,90000,57661658451.0,90000,1
1,0,696185,1450193419,2.46e+18,21000,50000000000.0,21000,0
0,1,697405,1450214020,0.0,90000,57661658451.0,59690,0
0,1,696632,1450201053,1.0,250000,52000000000.0,45525,0
0,1,696404,1450197266,1.0,250000,52000000000.0,186382,0
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
0,1,696636,1450201108,1.0,250000,52000000000.0,45589,0
0,1,697421,1450214365,0.0,90000,56024213625.0,90000,1
1,0,696394,1450197076,3e+18,90000,50000000000.0,21000,0
1,0,697372,1450213321,1.81e+19,90000,50000000000.0,21000,0
1,0,696495,1450198836,9.44e+17,90000,51136235733.0,21000,0
0,1,696493,1450198757,1.0,250000,52000000000.0,186446,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74690,0
0,1,696630,1450201026,1.0,250000,52000000000.0,118539,0
0,1,696823,1450204120,1.0,250000,52000000000.0,186446,0
1,0,697207,1450210176,1.02e+18,90000,50000000000.0,21000,0
0,1,697016,1450206879,1000000000000000.0,3000000,50000000000.0,105372,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74754,0
1,0,696943,1450205786,4.76e+18,90000,50000000000.0,21000,0
0,1,697404,1450213994,0.0,90000,57661658451.0,90000,1
1,0,697358,1450213107,2.5e+19,21000,50000000000.0,21000,0
1,0,696735,1450202636,5.09e+19,21000,60000000000.0,21000,0
1,0,697074,1450208014,2.52e+18,90000,50000000000.0,21000,0
1,0,697404,1450213994,1.26e+18,21000,76207658440.0,21000,0
0,1,697398,1450213858,0.0,90000,57661658451.0,90000,1
0,1,697027,1450207236,1.0,250000,52000000000.0,186446,0
0,1,696654,1450201342,1.0,250000,52000000000.0,54655,0
0,1,696184,1450193408,1.0,250000,52000000000.0,186446,0
1,0,696044,1450190828,5.29e+18,21000,60000000000.0,21000,0
0,1,697410,1450214119,0.0,90000,56540427731.0,90000,1
1,0,697405,1450214020,1.25e+18,21000,75518436715.0,21000,0
0,1,696635,1450201104,1.0,250000,52000000000.0,45525,0
0,1,696612,1450200729,1.0,250000,52000000000.0,186382,0
1,0,697026,1450207195,3.23e+18,21000,60000000000.0,21000,0
1,0,696271,1450194862,6.13e+18,90000,50000000000.0,21000,0
1,0,696909,1450205295,4.96e+18,41000,50000000000.0,21000,0
1,0,696701,1450202085,1.04e+18,21000,60000000000.0,21000,0
1,0,696644,1450201253,5e+19,21000,66073600134.0,21000,0
0,1,697402,1450213907,0.0,90000,57661658451.0,90000,1
1,0,696133,1450192614,1.1e+18,90000,50000000000.0,21000,0
0,1,696490,1450198720,1.0,250000,52000000000.0,186446,0
1,0,696852,1450204504,4.99e+18,41000,50000000000.0,21000,0
1,0,697390,1450213666,2.57e+18,21000,72586370105.0,21000,0
1,0,697403,1450213978,2.42e+18,21000,70696423212.0,21000,0
1,0,697380,1450213449,5.79e+17,25000,50000000000.0,21000,0
1,0,696913,1450205352,4.24e+18,90000,50000000000.0,21000,0
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
0,1,696986,1450206462,1.0,250000,52000000000.0,186446,0
0,1,696310,1450195469,1.0,250000,52000000000.0,186446,0
0,1,696489,1450198697,1.0,250000,52000000000.0,186446,0
0,1,696315,1450195562,1.0,250000,52000000000.0,186446,0
0,1,696921,1450205482,1.0,250000,52000000000.0,186446,0
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
0,1,697354,1450213027,1.0,250000,52000000000.0,186382,0
1,0,697391,1450213762,1.09e+17,90000,61578081924.0,21000,0
0,1,696637,1450201115,1.0,250000,52000000000.0,45525,0
1,0,696905,1450205252,4.48e+18,90000,50000000000.0,21000,0
1,0,697116,1450208621,9.36e+18,90000,50000000000.0,21000,0
1,0,697380,1450213449,4.08e+18,25000,50000000000.0,21000,0
0,1,697419,1450214339,0.0,90000,56024213625.0,90000,1
0,1,697413,1450214172,0.0,90000,56540427731.0,90000,1
1,0,696693,1450201946,1.14e+18,90000,50000000000.0,21000,0
0,1,696800,1450203803,1.0,250000,52000000000.0,186382,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
0,1,696406,1450197290,0.0,3000000,50000000000.0,42447,0
0,1,696036,1450190664,0.0,43080,50000000000.0,43080,1
1,0,696284,1450195088,1.03e+18,90000,50000000000.0,21000,0
1,0,697384,1450213518,8.8e+17,22050,53676057844.0,21000,0
0,1,697413,1450214172,0.0,90000,56540427731.0,90000,1
1,0,696798,1450203759,1.15e+19,90000,50000000000.0,21000,0
0,1,696904,1450205235,1.0,250000,52000000000.0,54591,0
0,1,697401,1450213897,0.0,90000,57661658451.0,90000,1
1,0,696624,1450200952,5.03e+18,21000,60000000000.0,21000,0
0,1,696199,1450193626,1.0,250000,52000000000.0,186446,0
0,1,696681,1450201860,1.0,250000,52000000000.0,120916,0
0,1,696358,1450196383,1.0,250000,52000000000.0,186446,0
0,1,697404,1450213994,0.0,90000,57661658451.0,90000,1
