toIsContract_0,toIsContract_1,blockNumber,timestamp,value,gasLimit,gasPrice,gasUsed,isError
1,0,696707,1450202172,1.2e+19,90000,50000000000.0,21000,0
1,0,696718,1450202366,1.28e+18,21000,60000000000.0,21000,0
1,0,696884,1450204877,6.03e+18,21000,60000000000.0,21000,0
0,1,697415,1450214254,0.0,90000,56540427731.0,90000,1
0,1,697416,1450214304,0.0,90000,56540427731.0,90000,1
1,0,696800,1450203803,6.57e+18,90000,50000000000.0,21000,0
0,1,696270,1450194850,1.0,250000,52000000000.0,186382,0
0,1,696837,1450204307,1.0,250000,52000000000.0,196062,0
1,0,696483,1450198623,2e+20,90000,50000000000.0,21000,0
0,1,697397,1450213834,1.0,250000,52000000000.0,186446,0
0,1,696395,1450197117,1.0,250000,52000000000.0,186446,0
0,1,697232,1450210657,1.0,250000,52000000000.0,186446,0
0,1,697409,1450214113,0.0,90000,57136937358.0,90000,1
1,0,696271,1450194862,4.68e+18,90000,50000000000.0,21000,0
0,1,697022,1450207065,1.0,250000,52000000000.0,186382,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
1,0,697390,1450213666,5.59e+17,90000,61578081924.0,21000,0
0,1,697190,1450209907,1.0,250000,52000000000.0,186446,0
1,0,697244,1450210891,1.29e+18,21000,60000000000.0,21000,0
0,1,696632,1450201053,1.0,250000,52000000000.0,45525,0
1,0,697380,1450213449,1.08e+19,25000,50000000000.0,21000,0
0,1,696324,1450195762,1.0,250000,52000000000.0,186446,0
0,1,697411,1450214125,0.0,90000,56540427731.0,90000,1
1,0,696720,1450202395,2.76e+19,21000,60000000000.0,21000,0
0,1,696992,1450206565,1.0,250000,52000000000.0,186446,0
1,0,697380,1450213449,1.48e+19,25000,50000000000.0,21000,0
1,0,696817,1450204046,3.03e+18,21000,60000000000.0,21000,0
0,1,697412,1450214147,0.0,90000,56540427731.0,90000,1
0,1,696327,1450195819,1.0,250000,52000000000.0,186446,0
1,0,697212,1450210255,1.87e+18,21000,60000000000.0,21000,0
0,1,697218,1450210376,1.0,250000,52000000000.0,186446,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74754,0
1,0,696943,1450205786,4.95e+18,41000,50000000000.0,21000,0
0,1,696665,1450201584,1.0,250000,52000000000.0,186446,0
0,1,696629,1450201018,1.0,250000,52000000000.0,186446,0
1,0,696507,1450199079,1.01e+18,90000,50000000000.0,21000,0
1,0,696761,1450203009,1.95e+19,90000,50000000000.0,21000,0
0,1,696605,1450200622,1.0,250000,52000000000.0,186382,0
1,0,696075,1450191594,1.06e+18,90000,50000000000.0,21000,0
1,0,696481,1450198562,1.07e+18,90000,50000000000.0,21000,0
1,0,697160,1450209329,2.29e+18,90000,50000000000.0,21000,0
0,1,697408,1450214044,0.0,90000,57136937358.0,90000,1
0,1,696411,1450197384,1.0,250000,52000000000.0,186446,0
0,1,697398,1450213858,0.0,90000,57661658451.0,90000,1
0,1,697409,1450214113,0.0,90000,57136937358.0,90000,1
0,1,696782,1450203327,1.0,250000,52000000000.0,186446,0
1,0,697293,1450211844,1200000000000000.0,90000,50000000000.0,21748,0
0,1,697074,1450208014,1.0,250000,52000000000.0,54463,0
1,0,696853,1450204529,4.95e+18,41000,50000000000.0,21000,0
1,0,697285,1450211706,1.74e+18,90000,50000000000.0,21000,0
0,1,696721,1450202405,1.0,250000,52000000000.0,186446,0
0,1,697403,1450213978,0.0,90000,57661658451.0,90000,1
1,0,697417,1450214322,6.33e+17,25000,50000000000.0,21000,0
0,1,697173,1450209507,0.0,150000,50000000000.0,59626,0
1,0,696904,1450205235,2.01e+18,21000,60000000000.0,21000,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74690,0
