nonce,transaction_index,value,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,block_number,to_scam
57,19,2.71e+18,25200,80656250000.0,492487,21000,4902433,0
1,18,8.37e+18,21000,60000000000.0,582254,21000,4942171,1
7,28,1.18e+17,25200,33000000000.0,830904,21000,5071623,0
0,24,5.57e+16,21004,150000000.0,1538049,21004,4410796,0
1,105,8.57e+19,21000,20000000000.0,2979005,21000,4979827,0
11,1,1e+17,25200,74406250000.0,42000,21000,5208697,0
153786,10,2.49e+17,90000,70000000000.0,471355,21000,5021794,0
27,0,4e+18,21000,118000000000.0,21000,21000,5140603,0
249,79,0.0,49333,5000000000.0,6268621,30667,6315867,1
69,45,2e+17,96882,8500000000.0,1613046,48653,6378749,1
93,49,1.22e+17,21000,150000000.0,4520032,21000,4421912,0
24,8,1.31e+17,21000,61000000000.0,189000,21000,4387079,0
6,42,2e+19,25200,4906250000.0,903051,21000,4389464,0
389846,120,2.51e+18,100000,120000000000.0,6942066,21000,5125482,0
8,54,4059000000000000.0,21000,17000000000.0,1218089,21000,5150884,0
99172,45,1449000000000000.0,21000,15700000000.0,1415120,21000,5236148,0
0,31,1.71e+18,21000,20010000000.0,1258132,21000,5163898,0
57,8,3.5e+18,21000,41000000000.0,205940,21000,5848605,0
84922,106,2944000000000000.0,90000,17000000000.0,2377469,21000,5150884,0
42,168,0.0,64487,8000000000.0,6677600,44487,6390431,1
0,125,1.45e+18,21000,21000000000.0,3491474,21000,5001304,0
20,155,2e+17,31500,8000000000.0,6298981,21000,4378020,1
45,78,1e+18,25200,38895521792.0,3131900,21000,4901667,0
0,140,4.51e+16,21000,1200000000.0,6508758,21000,5333072,0
3,38,4.15e+17,90000,4800000000.0,1849673,21000,5280909,0
0,251,4891580000000000.0,90000,20000000000.0,6224333,21000,4982718,0
4903148,4,5.01e+16,50000,1000000000.0,105000,21000,4995668,0
178,31,3.83e+17,35000,7475017250.0,1419890,30981,8686311,0
283365,33,1.76e+18,40000,50000000000.0,856287,21000,5000281,0
40,51,0.0,95070,25000000000.0,2649412,22286,5609180,0
268,15,5.1e+16,35000,11500000000.0,584372,30981,8690919,0
0,89,3.66e+17,21000,24000000000.0,2504034,21000,5036840,0
1815,6,1.9e+16,21000,24000000000.0,378950,21000,4383504,0
839,110,2.04e+19,21000,19000000000.0,2950850,21000,5071918,0
8,85,4.23e+17,21000,13095238041.0,3687000,21000,4377582,0
3,23,2.18e+18,21000,24000000000.0,693023,21000,5115238,0
10,4,9000000000000000.0,25200,35343750000.0,123512,21000,5134177,0
8410,234,1760000000000000.0,21000,20000000000.0,7075374,21000,4978918,0
0,137,1.33e+18,90000,20000000000.0,5102932,21000,4980774,0
1335,20,0.0,47338,12000000000.0,849681,38610,6398685,1
425,49,1.61e+16,21000,11000000000.0,3061783,21000,4389437,0
20,15,0.0,59173,24000000000.0,467398,24336,6399241,1
1,27,5.18e+16,21000,11000000000.0,1129966,21000,4420170,0
1564,40,0.0,47338,12000000000.0,1589633,38610,6405330,1
3,5,2e+16,21000,1000000000000.0,144512,21000,4381720,0
201925,23,1.64e+18,90000,39000000000.0,1000745,21000,5221763,0
1,134,5.08e+19,21000,20000000000.0,6340938,21000,4999252,0
4854730,38,2e+17,50000,1000000000.0,837614,21000,4981013,0
79,195,0.0,52711,99000000000.0,6765929,37711,6069396,0
239727,11,1.19e+17,30000,115000000000.0,327048,21000,4888172,0
326,196,36752.0,21000,1.0,5704313,21000,4407278,0
809506,112,1.4e+19,30000,105000000000.0,5498332,21000,5204851,0
4,107,1.47e+18,21000,1000000000.0,6837253,21000,5054036,0
3891829,17,3.7e+18,121000,51000000000.0,502774,21000,4841276,0
7,2,1.1e+18,90000,29000000000.0,105527,21000,4385858,0
1480,26,1400000000000000.0,21000,16000000000.0,846815,21000,5072142,0
13167,88,5e+17,90000,37100000000.0,4124706,21000,5299927,0
23,34,1e+18,21000,116000000000.0,753614,21000,5162369,0
115583,23,2.1e+18,21000,61000000000.0,516341,21000,5157445,0
1168275,17,9.9e+17,200000,51900000000.0,554293,21000,5165184,0
6854,6,2.38e+18,60000,150000000000.0,163158,21000,4905959,0
498,36,8.75e+18,21000,16000000000.0,812125,21000,4384115,0
0,3,2.59e+17,21000,35900000000.0,101026,21000,5068570,0
3887696,55,1.5e+18,121000,51000000000.0,1692550,21000,4840628,0
3,109,1.7e+18,21000,24000000000.0,4484145,21000,5181447,0
0,53,1.1e+18,21000,28800000000.0,2650509,21000,5113695,0
2,134,13170000000000.0,21000,30000000.0,5377548,21000,4382770,0
0,56,3.24e+20,21000,4000000001.0,1235498,21000,4388489,0
2,90,1763800000000000.0,21000,200000000.0,7800843,21000,5116794,0
1,111,9.5e+18,21000,24000000000.0,4066170,21000,4979344,0
42,159,6140000000000000.0,21000,20000000000.0,4874818,21000,4980172,0
25459,15,5e+19,90000,39000000000.0,590309,21000,5348508,0
0,40,1.85e+18,60000,20000000000.0,3127471,21000,8685312,0
0,87,7.59e+17,21000,500000000.0,7507571,21000,5301753,0
308961,65,4.72e+17,90000,22000000000.0,2509171,21000,4979813,0
243380,1,2.99e+17,45000,128000000000.0,73125,21000,5106813,0
8,5,5.45e+17,21000,118000000000.0,126000,21000,5131894,0
81,13,1.61e+17,21000,26000000000.0,1662485,21000,5345318,0
763832,107,8.88e+17,30000,105000000000.0,4171332,21000,5058911,0
2,217,1.99e+19,21000,190000000000.0,4688976,21000,4860313,0
29,66,2e+16,31500,9200000000.0,2339403,21000,4420144,0
370830,170,8.9e+17,100000,91000000000.0,3837266,21000,5023328,0
203143,212,3e+18,90000,38000000000.0,5129485,21000,5223039,0
372829,9,1e+18,100000,91000000000.0,453034,21000,5035039,0
256793,19,3e+17,90000,225000000.0,1068220,21000,4392199,0
23,236,1.1e+17,21000,3100000000.0,6985096,21000,5311764,0
833394,90,9.91e+16,100000,40000000000.0,4088123,21000,4983866,0
0,88,1.56e+16,21000,6000000000.0,3190363,21000,5217819,1
240028,103,1.79e+17,30000,156500000000.0,3571196,21000,4887977,0
239,41,0.0,59173,10000000000.0,1830140,38610,6408007,1
1,44,2.02e+18,21000,3218935740.0,1551013,21000,4408453,0
0,6,4.8e+18,21000,45000000000.0,382744,21000,5110139,0
723516,29,9.9e+17,30000,105000000000.0,667126,21000,4984453,0
6,19,1e+18,21000,41000000000.0,676278,21000,5182051,1
1,81,3.09e+19,21000,20000000000.0,2384053,21000,4981693,0
14,10,1e+16,25200,64298504192.0,686382,21000,4902651,0
25895,54,1e+16,50000,20000000000.0,4620705,21000,4983328,0
142237,15,5.18e+17,42000,33000000000.0,761868,21000,5037936,0
0,3,1e+18,21000,21000000000.0,130870,21000,5481686,1
543756,10,1.2e+17,90000,22500000000.0,325159,21000,5215082,0
55,20,0.0,150950,21000000000.0,538713,22182,5279266,0
167556,20,9.99e+17,90000,70000000000.0,1012373,21000,5121394,0
323622,32,2.08e+18,45000,110000000000.0,703056,21000,5425703,1
205240,172,3.38e+17,90000,37000000000.0,4590124,21000,5234601,0
1084,31,0.0,59173,10000000000.0,1894613,38610,6406107,1
2612,169,2.04e+17,35000,13938000000.0,8402391,30981,8688299,0
19,111,3.1e+17,93674,27000000000.0,2894265,93674,4447311,0
58,22,0.0,151637,21000000000.0,904098,38050,4483094,0
1,178,9.07e+19,21000,20000000000.0,4716530,21000,4979272,0
22,10,1.01e+16,21000,12600000000.0,310450,21000,4376224,0
33,17,0.0,36705,10000000000.0,679610,36705,6306624,0
0,45,3.49e+17,90000,20000000000.0,2447760,21000,4982167,0
28,30,4e+17,120517,8000000000.0,7725267,79419,6393292,1
7,5,1.26e+17,21000,41000000000.0,259807,21000,5590768,0
0,155,5e+16,21000,21000000000.0,5176632,21000,4982014,0
37997,153,4.28e+17,21000,20000000000.0,4426294,21000,5202980,1
62082,119,1.5e+20,21000,102000000000.0,7994296,21000,4997972,0
5065893,28,4.24e+17,50000,1000000000.0,664536,21000,4834895,0
288977,0,6.74e+18,45000,112000000000.0,21000,21000,5265536,0
48,2,1.17e+16,21000,63000000000.0,63000,21000,4408353,0
58,80,9.88e+16,21000,11000000000.0,3523122,21000,4370559,0
61,75,0.0,81673,9000000000.0,6821503,53610,6416730,1
100529,58,1449000000000000.0,21000,15700000000.0,2520534,21000,5248126,0
331,81,0.0,59173,12000000000.0,5248588,38610,6403742,1
0,144,2.37e+16,90000,20000000000.0,5312046,21000,4837973,0
67450,142,1.68e+16,940000,20000000000.0,4524790,21000,4979265,0
2,87,1763800000000000.0,21000,200000000.0,7701863,21000,5104477,0
4557255,118,2.37e+17,150000,90000000000.0,3821394,21000,4993106,0
28,21,1.33e+17,21000,61000000000.0,462000,21000,4387079,0
174053,2,2.76e+17,100000,98000000000.0,63000,21000,5010039,0
307,47,0.0,59173,10000000000.0,2194005,38610,6433108,1
73463,211,5.18e+17,90000,85000000000.0,4799867,21000,4899319,0
363,33,0.0,63304,73000000000.0,734466,41364,6399971,1
0,14,1e+17,22224,21000000000.0,689882,22224,4377938,1
268231,12,2.36e+16,30000,26000000000.0,489605,21000,5209182,0
17,30,1480000000000000.0,21000,40000000000.0,1452301,21000,4969362,1
0,102,1.09e+18,21000,24000000000.0,3294611,21000,5108599,0
1,173,4.66e+19,21000,20000000000.0,5416010,21000,4980508,0
7,124,9e+16,166666,50000000000.0,3487614,21000,4994133,0
229145,30,452720000000000.0,90000,20609467870.0,768146,21000,4370018,0
2,34,2.3e+18,21000,16000000000.0,2006451,21000,5151373,0
39,60,0.0,59173,8000000000.0,7590100,38610,6404397,1
1944134,90,4.88e+16,90000,6000100000.0,4176850,21000,4457477,0
244,150,0.0,59173,10000000000.0,5044019,38610,6403251,1
37,116,36752.0,21000,1.0,4181706,21000,4391788,0
241689,145,4.89e+17,30000,131000000000.0,3408896,21000,4892294,0
789679,9,5.44e+17,21000,100000000000.0,226387,21000,5918945,1
47205,208,765000000000000.0,21000,22900000000.0,7059934,21000,5000021,0
295623,18,9.28e+16,30000,24000000000.0,753877,21000,5276565,0
1,45,7.82e+19,21000,149219000000.0,1052509,21000,4858558,0
377814,87,8.95e+17,30000,8400000000.0,2959963,21000,4390722,0
90997,51,5552000000000000.0,90000,4000000001.0,2053331,21000,5168012,0
2,28,5150000000000000.0,21000,61000000000.0,1037283,21000,4940595,1
12,2,2.51e+17,21000,99000000000.0,79712,21000,5120608,0
39935,69,3.58e+18,90000,4800000000.0,2597081,21000,4460316,0
44,97,2e+16,25200,11125000000.0,3401058,21000,5053049,0
730,56,0.0,59173,8000000000.0,7502185,38610,6403223,1
3619177,251,1e+18,50000,225000000.0,5671517,21000,4387875,0
15,92,500000000000000.0,30000,6000000000.0,5652049,21000,5153164,0
82626,22,2950000000000000.0,90000,14000000000.0,923255,21000,5144697,0
15,163,1.61e+16,21000,3000000000.0,6227998,21000,5060117,1
370201,12,9.58e+19,100000,91000000000.0,273000,21000,5020524,0
59,65,3e+19,25200,3343750000.0,2215871,21000,4417866,0
596623,7,4.77e+16,150000,21200000000.0,242273,69236,4840361,1
2734,46,8.17e+16,940000,6000100000.0,1919658,21000,4456453,0
499,42,0.0,82777,9000000000.0,7520784,55185,6405480,1
2,255,5960000000000000.0,21000,60000000000.0,7257811,21000,4890555,1
272461,1,9.6e+17,45000,113000000000.0,42000,21000,5205604,0
6,24,500000000000000.0,21000,23000000000.0,1782761,21000,4838480,0
2768,20,1.22e+18,90000,66000000000.0,550225,21000,5036295,0
29,32,0.0,53475,1000000000.0,5059245,35650,5436605,1
6005436,24,1.21e+16,50000,1000000000.0,580587,21000,4994902,0
