nonce,transaction_index,value,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,block_number,to_scam
23890,33,1e+18,90000,39000000000.0,1285100,21000,5342864,0
77,34,1.6e+16,25200,16176468992.0,735000,21000,4397589,0
0,23,1e+16,75000,10000000000.0,1234749,71413,6430612,1
0,105,1.81e+17,90000,77000000000.0,3640364,21000,4899976,0
1,19,1.39e+16,21000,24000000000.0,566258,21000,5344914,0
179,26,0.0,81673,9000000000.0,7211046,53610,6405769,1
1,21,6.18e+17,21000,26000000000.0,751527,21000,8686336,0
177200,1,9.99e+17,90000,70000000000.0,42000,21000,5226101,0
64,64,0.0,153750,21000000000.0,1806815,21406,5279149,0
4900262,92,8.71e+16,50000,1000000000.0,2108613,21000,4994897,0
81,28,1.94e+17,35000,6900000000.0,5293812,30981,8687450,0
0,19,1e+16,75000,10000000000.0,986466,71413,6430796,1
525,24,4.8e+17,150000,61000000000.0,3367786,21000,5046552,0
213947,259,2.8e+18,90000,62400000000.0,6087060,21000,4926329,0
273590,125,2.02e+18,30000,31000000000.0,3366567,21000,5046146,0
9,35,1.3e+18,21000,59000000000.0,1373244,21000,5317834,0
3,15,1e+18,21000,18000000000.0,353037,21000,4389519,0
6,178,1e+17,25200,20500000000.0,5813460,21000,4901250,0
2,132,746396000000000.0,21000,2000000001.0,6230789,21000,5085043,0
240190,142,3.63e+18,30000,115000000000.0,3595408,21000,4888163,0
4,59,1e+18,200000,45000000000.0,1946713,21000,5060194,0
91,4,1e+19,25200,34593750000.0,136768,21000,4384346,0
0,201,2.13e+18,21000,150000000.0,6642074,21000,4396317,0
3636688,205,9.9e+16,50000,150000000.0,5280032,21000,4395804,0
230,7,1.96e+18,21000,16000000000.0,168000,21000,4419587,0
0,48,1e+16,75000,10000000000.0,7746044,71413,6430720,1
1,1,1.56e+18,21000,112000000000.0,42000,21000,5345939,0
0,88,5.7e+17,21000,5000000000.0,7662542,21000,5573267,1
95,15,0.0,51531,25000000000.0,504186,36531,6070497,0
141272,162,4.31e+16,42000,33000000000.0,4098433,21000,5034518,0
2,266,1.3e+19,21000,174900000000.0,5707211,21000,4858928,0
1,100,9.97e+17,21000,20010000000.0,3356756,21000,5135226,0
55,171,1.01e+18,21000,1500000000.0,8614152,21000,8685568,0
197,88,3.02e+17,21000,23809523809.0,5587548,21000,5167226,0
96,1,9.97e+17,21000,128000000000.0,42000,21000,4982100,0
451,12,0.0,47338,23000000000.0,431044,38610,6407189,1
5,94,1e+18,21000,41000000000.0,4251700,21000,5337831,1
113875,45,1384000000000000.0,90000,5100000000.0,6949180,21000,5226129,0
63011,35,1e+18,150000,7500000000.0,1609990,21000,5298402,0
1,21,4.6e+16,21000,29100000000.0,1132345,21000,5038667,0
1,235,7.1e+19,21000,20000000000.0,6241689,21000,4837966,0
252146,116,1.55e+18,90000,18000000000.0,5284704,21000,4377799,0
92003,5,9.1e+18,21000,61000000000.0,142385,21000,5058913,0
9,3,3.21e+17,90000,102600000000.0,87709,21004,4930611,0
377310,59,9.35e+17,80000,525000000.0,4827656,21000,4389421,0
0,135,1.1e+18,21000,10020000000.0,4118563,21000,5165458,0
1587,77,1000000000000000.0,21000,21900000000.0,2474464,21000,4980482,0
1,123,4.89e+18,21000,14000000000.0,4214856,21000,5144600,0
184413,43,2.09e+18,90000,43000000000.0,1944348,21000,5162883,0
91636,124,1e+16,21000,61000000000.0,2686178,21000,5057888,0
4,54,1400000000000000.0,21000,7000000000.0,3823725,21000,8685312,0
764,3,7331860000000000.0,21000,129000000000.0,203434,21000,5025615,0
0,136,1.09e+18,60000,70000000000.0,4784910,33341,4925250,0
23,31,5e+16,100000,51000000000.0,1466604,21000,5012937,0
1,59,879800000000000.0,21000,200000000.0,7281760,21000,5312102,0
3,17,9e+16,21000,21000000000.0,898825,21000,4378162,1
1880,28,3.59e+17,35000,11500000000.0,1311856,30981,8691133,0
6431,22,1.5e+16,21000,24000000000.0,782060,21000,5334414,0
0,83,1.74e+19,21000,900000000.0,7781001,21000,5238447,0
7,0,9.97e+17,21000,129000000000.0,21000,21000,5000533,0
176865,66,6.77e+18,21000,150000000.0,3668165,21000,4418591,0
0,76,2.19e+17,21000,41000000000.0,2230516,21000,4993619,0
196664,38,4e+18,45000,128000000000.0,887357,21000,4983329,0
1,110,1.36e+17,21000,7000000000.0,2890890,21000,5270189,0
50017,15,9.67e+17,21000,24010000000.0,425569,21000,5342003,0
22,24,1000000000000000.0,21000,14000000000.0,968285,21000,4437791,0
11637,88,2.79e+17,21000,6000000001.0,6274233,21000,4395305,0
6,40,2000000000000000.0,25200,16593750000.0,1474764,21000,5066070,0
2,25,8.19e+18,21000,20000000000.0,898883,21000,4835156,0
22471,73,1.92e+16,105000,41000000000.0,2354737,21000,4996178,0
1,141,3.9e+17,21000,2500000000.0,5684323,21000,5339514,0
1,197,5.03e+16,21000,11000000000.0,6362940,21000,5049161,0
258159,160,2.14e+17,90000,76000000000.0,4727750,21000,4900312,0
19,175,2000000000000000.0,250000,4000000000.0,6210030,29493,4840255,0
178013,52,4.6e+16,50000,3000000000.0,2401928,21000,5771566,1
2403,41,0.0,59173,24000000000.0,1367214,38610,6390902,1
11407,0,1.05e+18,121000,134000000000.0,21000,21000,5314177,0
658622,112,4e+18,30000,148400000000.0,2507803,21000,4887865,0
23,17,0.0,150000,21000000000.0,1200599,37898,4478507,0
1,131,1.9e+18,90000,20000000000.0,4346270,21000,4983778,0
0,36,1e+16,75000,10000000000.0,1999048,71413,6430463,1
22,19,5e+17,250600,21000000000.0,1201354,21000,4378066,1
26,44,0.0,152193,32000000000.0,1563047,36843,5267252,0
1,185,61035200000000.0,21000,1.0,5163645,21000,4396887,0
141,21,5.72e+17,21000,14000000000.0,882409,21000,5205873,0
394932,61,2.33e+18,30000,8400000000.0,3661986,21000,4459108,0
1,219,1e+18,21000,44000000000.0,4821311,21000,5081935,0
76166,88,2.02e+18,90000,85000000000.0,2846932,21000,4901506,0
0,29,1e+19,21000,17000000000.0,945409,21000,4440208,0
8,39,1.14e+18,21000,8000000001.0,1545443,21000,4462443,0
65,123,0.0,65000,9000000000.0,7915980,44551,6429294,1
35,287,2.21e+17,25200,30656250000.0,7738480,21000,4905822,0
0,70,1.99e+17,21000,61000000000.0,2241808,21000,5046155,0
805,175,1.02e+18,35000,10350000000.0,5854398,30981,8690299,0
1060,151,2.73e+17,25000,6000000000.0,4163609,21000,5115771,0
0,104,1e+18,90000,20000000000.0,3594569,21000,4979628,0
3893307,64,1.02e+18,121000,51000000000.0,4520420,21000,4841526,0
6545,68,0.0,81673,12000000000.0,3874359,53610,6394482,1
106651,151,637000000000000.0,21000,9700000000.0,5046754,21000,5310066,0
97271,215,2e+18,21000,61000000000.0,7960066,21000,5082747,0
68095,50,5.89e+17,200000,10000000000.0,2945852,21000,5327785,1
94,135,2.01e+17,90000,20000000000.0,4162480,21000,4978782,0
8,89,9e+17,50000,34000000000.0,3315664,21000,4907619,0
1140955,41,1.55e+17,200000,51900000000.0,1242057,21000,5046537,0
230871,1,3.1e+18,21000,50000000000.0,57473,21000,4978933,0
185561,125,1.02e+17,90000,43000000000.0,5830912,21000,5163626,0
4,3,5e+17,21000,93000000000.0,115106,21000,6010541,1
422,50,1e+17,209146,1000000001.0,1888695,209146,4447244,0
4,133,1e+18,21000,500000000.0,6051430,21000,5301300,0
9,13,0.0,252000,61000000000.0,430402,37286,4767730,0
67600,67,5.48e+18,21000,1010000001.0,5261640,21000,5140041,0
106556,59,819000000000000.0,21000,9700000000.0,3061230,21000,5309318,0
41,73,1e+18,25200,31437500000.0,4724787,21000,4902114,0
1163687,8,1.4e+17,200000,51900000000.0,319068,21000,5142559,0
116,69,0.0,81673,20000000000.0,2339758,53610,6408688,1
4529998,79,3.99e+18,150000,90000000000.0,2242631,21000,4982598,0
2,101,2.83e+18,21000,26400000000.0,4570183,21000,5143570,0
545,194,2.83e+18,74632,7000000000.0,5561354,21000,5265539,0
0,142,2.28e+17,90000,21000000000.0,4918253,21000,5001561,0
4,49,5.2e+16,35000,21200000000.0,1558422,30981,5037305,0
2,125,1.5e+16,21000,1300000000.0,5274942,21000,5020242,0
0,186,5.04e+17,42000,20000000000.0,5331178,21000,5231763,0
562559,102,1.05e+18,90000,78000000000.0,3538474,21000,4380520,0
57259,3,2.96e+18,90000,25250000000.0,84000,21000,4461360,0
1,117,5.6e+19,21000,41000000000.0,3370796,21000,4994643,0
13,58,1e+17,90000,13095238041.0,2036027,21000,4462363,0
10,144,2000000000000000.0,21000,29900000000.0,5604011,21000,5020251,0
39957,8,1116000000000000.0,90000,3720000000.0,298767,21000,5311874,0
80503,5,1.53e+18,121000,100000000000.0,190848,21000,5225080,0
74,27,9.06e+17,140511,10001000000.0,1191793,93674,4443658,0
1273,174,36350.0,21000,1000000002.0,7827270,21000,5063253,0
0,79,1.93e+18,21000,41000000000.0,2174518,21000,5527713,1
1,108,1.78e+17,21000,40000000000.0,3904599,21000,4733446,1
30,304,5.25e+16,21000,4000000001.0,7915939,21000,5164166,0
24717,53,3.22e+16,42000,500000000.0,6374529,21000,4389255,0
33,64,2.71e+17,90000,5000000001.0,1911222,21000,4456274,0
586,143,3.9e+16,940000,10343750000.0,4679027,21000,5122149,0
0,113,1.61e+16,21000,41000000000.0,2666173,21000,7408946,1
11,70,2e+18,25200,2200000000.0,3263182,21000,5312395,0
0,37,2.22e+17,21000,6000100000.0,809777,21000,4456959,0
0,61,3e+17,21000,3900000000.0,4211536,21000,5207928,0
63,13,5.54e+16,21000,90000000000.0,294000,21000,5332217,0
82236,1,1.47e+19,121000,100000000000.0,42000,21000,5271714,0
31726,11,1.01e+17,150000,26400000000.0,458114,21000,4389731,0
4573827,159,1.57e+19,150000,90000000000.0,7115816,21000,4999002,0
5,67,1.15e+17,250600,1000000000.0,3001027,21000,4378889,1
96,40,1000000000000000.0,25200,14250000000.0,1526723,21000,5123151,0
249210,98,5.26e+16,90000,19800000000.0,2861678,21000,4464983,0
49509,60,3.23e+17,53000,6000000000.0,2797196,21000,5130343,0
6752,178,1.49e+18,21000,4400000001.0,7867047,21000,5265535,0
27,18,0.0,170000,51000000000.0,894997,37775,4779355,0
18962,42,2.34e+19,90000,6000100000.0,1245600,21000,4457170,0
795615,3,2.46e+18,30000,105000000000.0,84000,21000,5154447,0
0,99,1e+16,75000,10000000000.0,7164438,71413,6430406,1
27,132,0.0,100000,6500000000.0,7922985,38610,6372376,1
84846,2,5e+19,21000,102000000000.0,63000,21000,5346165,0
162283,130,2770000000000000.0,90000,2200000000.0,7347588,21000,5315940,0
34,23,1.7e+17,25200,68235292672.0,574102,21000,5299710,0
97002,22,1.46e+17,90000,24000000000.0,751956,21000,4835411,0
789,113,4.1e+16,250000,15000000000.0,3576231,21000,5051097,1
421393,139,3.4e+19,100000,91000000000.0,5674565,21000,5269417,0
0,48,5e+16,90000,20000000000.0,1875636,21000,4981392,0
2450,41,0.0,81673,15000000000.0,1675842,53610,6390275,1
0,47,2.13e+17,21000,20000000000.0,1204285,21000,4979897,0
15,9,5e+19,25200,29558208512.0,339889,21000,5135449,0
7,222,1.06e+18,90000,4800000000.0,6578797,21000,5310327,0
4,21,1.01e+18,21000,122000000000.0,472195,21000,5207161,0
0,28,2.22e+16,90000,7000000000.0,1765078,21000,5132620,0
16,33,4.17e+17,35000,21200000000.0,1229217,30981,5037282,0
156581,29,3.58e+17,90000,35000000000.0,1248742,21000,4982036,0
188302,148,7.63e+16,90000,35000000000.0,7678558,21000,5180451,0
96,6,5e+17,35000,9100001337.0,156981,30981,4377504,0
1586,28,3.73e+17,35000,9315000000.0,5258075,30981,8687033,0
6318,29,1.59e+17,940000,6000100000.0,687351,21000,4457214,0
279734,19,2.92e+18,30000,38000000000.0,559473,21000,5104476,0
9,112,2e+17,21000,1000000000.0,7194008,21000,5059585,1
579,7,0.0,59173,20000000000.0,187354,24336,6406784,1
145153,89,1.34e+17,90000,14840000000.0,3476379,21000,5166460,0
0,114,1e+18,21000,1000000000.0,7846055,21000,5380001,1
79,60,0.0,54551,11000000000.0,2840160,44551,6431579,1
0,165,2e+18,90000,20000000000.0,5405437,21000,4983306,0
303,19,2.5e+16,120517,10000000000.0,2427102,79419,6393691,1
213,109,1.47e+17,21000,550000000.0,3720106,21000,4376051,0
0,69,4.56e+17,21000,7000000000.0,3289256,21000,5209939,0
69,271,9.4e+17,125000,50000000000.0,7490465,21000,4927036,1
4,132,1.3e+17,21000,10000000000.0,5194859,21000,5782904,1
2,137,4.02e+18,21000,3000000000.0,7132141,21000,5418700,0
562927,132,1.5e+17,90000,78000000000.0,4317113,21000,4380539,0
1934,11,2.49e+17,90000,16000000000.0,252000,21000,4385904,0
89,44,1e+17,50000,24000000000.0,2088520,21000,5142171,0
31,9,1.2e+18,21000,99000000000.0,275259,21000,5083700,1
3855313,93,2.68e+17,121000,51000000000.0,4925838,21000,4834900,0
0,101,1e+16,75000,10000000000.0,5977209,71413,6430711,1
3912398,101,1.73e+17,121000,51000000000.0,3336812,21000,4843960,0
1145202,21,2.2e+18,200000,51900000000.0,863853,21000,5062494,0
0,174,8.56e+16,21000,3000000000.0,5412209,21000,4994642,0
68,16,3.14e+17,90000,11000000000.0,540506,21000,4421477,0
0,55,2.98e+18,21000,6000000000.0,1580169,21000,5567189,1
8,215,3.39e+18,42000,20000000000.0,6081482,21000,4835919,0
402906,19,4.12e+18,100000,91000000000.0,671793,21000,5182739,0
0,66,9.94e+16,21000,24000000000.0,2192103,21000,5338483,0
1140961,18,1.55e+18,200000,51900000000.0,720297,21000,5046568,0
144961,7,1.48e+18,90000,70000000000.0,327314,21000,4980977,0
11,101,1e+18,21000,41000000000.0,2524135,21000,5492230,1
10,93,4.42e+18,53000,1000000000.0,4811351,21000,5452086,1
0,222,1.33e+17,90000,21000000000.0,5959588,21000,4834133,0
1,69,1000000000000000.0,25200,4125000000.0,2905571,21000,5317556,0
1,167,879800000000000.0,21000,200000000.0,7604251,21000,5313636,0
244878,33,1.84e+19,21000,100000000000.0,1107682,21000,5000021,0
213,15,0.0,59173,9500000000.0,376983,38610,6378669,1
170,3,5e+19,25200,99999997952.0,194460,21000,5117553,0
50,64,3.09e+18,21000,13650002006.0,2758859,21000,4371461,0
32349,76,2.44e+17,90000,4800000000.0,2938567,21000,5210209,0
1143019,6,1.26e+18,200000,51900000000.0,260931,21000,5053791,0
6,32,1.25e+18,100000,21000000000.0,1518492,21000,4378636,1
50,1,1e+19,21000,115000000000.0,42000,21000,5344158,0
13,111,2e+17,21000,6000000000.0,3765558,21000,5073683,0
390926,21,7.56e+17,30000,8400000000.0,1111770,21000,4439665,0
258827,106,8.17e+16,30000,45000000000.0,2619428,21000,5110888,0
638,112,1.71e+18,21000,3000000000.0,8080830,21000,9151951,1
1,47,3.29e+17,21000,11342000000.0,2613244,21000,5166726,0
136607,122,1.83e+16,121000,6000100000.0,4568162,21000,4457397,0
272600,43,1.43e+17,45000,113000000000.0,924000,21000,5205875,0
43095,48,9.97e+17,21000,24010000000.0,1717075,21000,5141986,0
6024482,22,1e+18,50000,1000000000.0,530029,21000,4997209,0
3851,20,7.32e+16,90000,17000000000.0,972192,21000,4421390,0
445666,1,6e+17,100000,91000000000.0,42000,21000,5347224,0
498,9,2.32e+19,25200,44250742784.0,336135,21000,5026638,0
33,53,4000000000000000.0,25200,100000000.0,5065364,21000,4456485,0
46,216,3e+16,21000,20000000000.0,6275586,21000,4979200,0
140108,74,1.34e+16,50000,7500000000.0,3428341,21000,5238953,0
74933,35,1.08e+17,90000,115000000000.0,946921,21000,4900022,0
8768,85,2e+19,21000,16000000000.0,2895649,21000,5207415,0
60,55,2797000000000000.0,21000,7000000000.0,5322807,21000,5151913,0
35490,17,1620000000000000.0,90000,5400000000.0,998870,21000,5249918,0
3,50,5.73e+17,25200,44441788416.0,1873663,21000,5347198,0
4,18,2e+17,21000,4400000000.0,418935,21000,4407516,0
45,1,3.37e+16,21000,24000000000.0,42000,21000,4379157,0
41,25,2e+17,35000,10600000000.0,1114329,30981,5183158,0
373,80,1400000000000000.0,21000,16000000000.0,3117207,21000,5071919,0
184,103,0.0,59173,10000000000.0,4288324,38610,6405702,1
286,69,0.0,47338,10000000000.0,7352062,38610,6409007,1
5585,62,1.04e+18,90000,3000000000.0,6183989,21000,4998490,0
169822,95,1.23e+17,90000,42500000000.0,3126955,21000,5116776,0
86,134,0.0,81673,7400000000.0,4500264,53610,6395342,1
42,13,0.0,95070,25000000000.0,429013,91258,5609190,0
143,104,2.56e+17,60000,70000000000.0,2386312,33341,4921937,0
57,7,5e+17,21000,23000000000.0,354388,21000,6018854,0
1018,99,1e+18,25200,14000000000.0,5943952,21000,5118321,0
256579,27,1.1e+18,90000,22500000000.0,1513863,21000,4391244,0
0,90,5.64e+17,90000,36000000000.0,2426923,21000,4995924,0
508188,38,2.2e+18,50000,18000000000.0,1200659,21000,5117279,0
26355,168,4.45e+18,90000,4800000000.0,5944236,21000,5130598,0
695,23,1000000000000000.0,50000,1000000000.0,3022190,21000,4983167,0
243892,156,6.4e+17,21000,100000000000.0,7840822,21000,4999254,0
1,123,7.96e+19,21000,20000000000.0,4414806,21000,4979806,0
36,7,9.85e+16,21000,90000000000.0,187907,21000,5236906,0
121,56,1.41e+17,120517,4000000000.0,7028234,79419,6396330,1
46,22,1e+19,21000,47000000000.0,590108,21000,5030500,0
0,98,1e+18,21000,500000000.0,7738571,21000,5301753,0
107,41,4.07e+17,35000,10500000000.0,1893832,30981,4403338,0
0,72,7.22e+17,42000,20000000000.0,2552288,21000,4979735,0
758437,14,2.39e+19,30000,105000000000.0,315051,21000,5046684,0
3,51,700000000000000.0,25200,10343750000.0,2203140,21000,5142912,0
183106,5,1.1e+18,90000,70000000000.0,204465,21000,5319069,0
190,92,3.01e+17,35000,11500000000.0,3181660,30981,8689715,0
10214,116,148620000000000.0,21000,4000000001.0,4359734,21000,5131087,0
0,40,2.45e+17,90000,20000000000.0,1863884,21000,4992338,0
95,38,0.0,59173,12000000000.0,1774763,38610,6418289,1
2308,164,5.75e+17,105000,13000000000.0,4638125,21000,5182995,0
0,114,5.49e+18,35000,21200000000.0,4177019,30981,5035525,0
1,120,4710000000000000.0,21000,5000000000.0,7997587,21000,5045988,1
1,12,1.58e+16,21000,10000000000.0,561267,21000,7573793,1
2,95,1.01e+18,21000,60000000000.0,3170266,21000,4914396,1
230080,94,7500000000000000.0,90000,20609467870.0,4697511,21000,4370086,0
138395,17,2.88e+17,90000,30800000000.0,745543,21000,5043009,0
0,201,5860000000000000.0,21000,60000000000.0,4889455,21000,4889164,1
4779,61,8500000000000000.0,195846,1000000000.0,6608547,195846,8691013,0
0,59,6.51e+17,25200,11937500000.0,2009274,21000,4379184,1
23,5,1.21e+18,21000,33000000000.0,173296,21000,4420452,0
0,128,1.26e+18,21000,24000000000.0,7045198,21000,5108575,0
96,29,1.5e+18,21000,10101000000.0,1350810,21000,5185092,0
6019,254,9.9e+17,21000,4400000000.0,7832168,21000,5264492,0
5,96,0.0,53104,50000000000.0,3245490,38104,5047773,0
219139,2,2e+18,45000,128000000000.0,63000,21000,5032966,0
7272,14,2e+16,21000,70000000000.0,394957,21000,5084757,0
139,104,4.88e+16,21000,114000000000.0,2307667,21000,5260937,0
0,136,9.92e+17,21000,500000000.0,7745974,21000,5302340,0
1,13,3e+18,21000,8800000000.0,294000,21000,4395386,0
59,103,5e+16,21000,2000000001.0,7808606,21000,5107813,0
1,32,7120000000000000.0,25200,7529409024.0,1243309,21000,5341488,0
1087002,149,1e+16,21000,55000000000.0,6281664,21000,4835410,0
0,35,3.36e+17,90000,24000000000.0,1068137,21000,5059160,0
7,54,1.11e+18,21000,28800000000.0,2671509,21000,5113695,0
